date,index_name,rank,attention_weight,headline
2024-12-12,KOSPI,1,0.03562632203102112,유학 간 자식에게 “돈 아껴 써라“... 환율 급등에 학부모 비명
2024-12-12,KOSPI,2,0.03520433232188225,[천자칼럼] '앵커 베이비' 없애겠다는 트럼프
2024-12-12,KOSPI,3,0.03465954214334488,"무역전쟁 앞둔 中 ""내년 위안화 약세 허용 고려 중"""
2024-12-12,KOSPI,4,0.03456012159585953,"""의료보험 불만으로 美보험사와 의료인 대상 위협 증가"""
2024-12-12,KOSPI,5,0.034553591161966324,"윤, ‘계엄 회의 거부’ 류혁 감찰관 사표 수리 대통령실 “위임전결”"
2024-12-13,KOSDAQ,1,0.03675251826643944,'계엄 쇼크' 식당들 손님 없어 울상인데 여의도만 '돈쭐'났다
2024-12-13,KOSDAQ,2,0.03510574996471405,"미 혁신의 상징, 나스닥 사상 처음으로 2만 넘어"
2024-12-13,KOSDAQ,3,0.03499568626284599,트럼프 “김정은과 잘 지내니 우크라전 좋은 결과 보여주겠다”
2024-12-13,KOSDAQ,4,0.03490240499377251,"대한항공, 국내선 ‘넓은 일반석’ 추가 요금 없던 일로"
2024-12-13,KOSDAQ,5,0.03453587740659714,"""제이오 인수 시너지 크다"" 이수페타시스, 유상증자 재시동...주가는 다시 급락"
2024-12-13,KOSPI,1,0.03675251826643944,'계엄 쇼크' 식당들 손님 없어 울상인데 여의도만 '돈쭐'났다
2024-12-13,KOSPI,2,0.03510574996471405,"미 혁신의 상징, 나스닥 사상 처음으로 2만 넘어"
2024-12-13,KOSPI,3,0.03499568626284599,트럼프 “김정은과 잘 지내니 우크라전 좋은 결과 보여주겠다”
2024-12-13,KOSPI,4,0.03490240499377251,"대한항공, 국내선 ‘넓은 일반석’ 추가 요금 없던 일로"
2024-12-13,KOSPI,5,0.03453587740659714,"""제이오 인수 시너지 크다"" 이수페타시스, 유상증자 재시동...주가는 다시 급락"
2024-12-16,KOSDAQ,1,0.03631429374217987,美 대북 특임대사에 '트럼프 측근' 그리넬
2024-12-16,KOSDAQ,2,0.03629414737224579,노무현 박근혜 탄핵 소환한 증시 가결 후 반등
2024-12-16,KOSDAQ,3,0.03517332300543785,[기고] 트럼프의 ‘관세 폭탄’은 미국의 이익을 해칠 뿐이다
2024-12-16,KOSDAQ,4,0.03491829335689545,"K증시 '역대급 바겐세일'에도 ""주도주 확인돼야 본격 반등"""
2024-12-16,KOSDAQ,5,0.03485441207885742,[고희채의 워싱턴 브리핑] '관세맨' 트럼프와 '여세추이'의 길
2024-12-16,KOSPI,1,0.03631429374217987,美 대북 특임대사에 '트럼프 측근' 그리넬
2024-12-16,KOSPI,2,0.03629414737224579,노무현 박근혜 탄핵 소환한 증시 가결 후 반등
2024-12-16,KOSPI,3,0.03517332300543785,[기고] 트럼프의 ‘관세 폭탄’은 미국의 이익을 해칠 뿐이다
2024-12-16,KOSPI,4,0.03491829335689545,"K증시 '역대급 바겐세일'에도 ""주도주 확인돼야 본격 반등"""
2024-12-16,KOSPI,5,0.03485441207885742,[고희채의 워싱턴 브리핑] '관세맨' 트럼프와 '여세추이'의 길
2024-12-17,KOSDAQ,1,0.03552903234958649,"中 외교부, 尹탄핵 정국 첫 공식 입장 밝혀 “한중 관계 발전 추진”"
2024-12-17,KOSDAQ,2,0.035469043999910355,"美CNBC ""손정의, 트럼프 만나 1000억달러 대미 투자계획 발표 예정"""
2024-12-17,KOSDAQ,3,0.03528636693954468,"트럼프 찾아간 손정의 ""美에 1000억달러 투자"""
2024-12-17,KOSDAQ,4,0.03485436365008354,아사드 “이익 위해 자리 추구한 적 없어” 망명 뒤 첫 입장 내놓아
2024-12-17,KOSDAQ,5,0.03460664302110672,비트코인 사상 최고가 경신에 ‘월가 거물 5명’ 발언 재조명
2024-12-17,KOSPI,1,0.03552903234958649,"中 외교부, 尹탄핵 정국 첫 공식 입장 밝혀 “한중 관계 발전 추진”"
2024-12-17,KOSPI,2,0.035469043999910355,"美CNBC ""손정의, 트럼프 만나 1000억달러 대미 투자계획 발표 예정"""
2024-12-17,KOSPI,3,0.03528636693954468,"트럼프 찾아간 손정의 ""美에 1000억달러 투자"""
2024-12-17,KOSPI,4,0.03485436365008354,아사드 “이익 위해 자리 추구한 적 없어” 망명 뒤 첫 입장 내놓아
2024-12-17,KOSPI,5,0.03460664302110672,비트코인 사상 최고가 경신에 ‘월가 거물 5명’ 발언 재조명
2024-12-18,KOSDAQ,1,0.03568265959620476,"美 빅테크들, 트럼프에 취임 기부금 선물 행렬"
2024-12-18,KOSDAQ,2,0.03538771718740463,"정용진, 미국서 도널드 트럼프 당선인 장남 만났다"
2024-12-18,KOSDAQ,3,0.035240139812231064,"정용진, 트럼프 머무는 마러라고 방문...국내 기업인 중 첫 회동 가능성"
2024-12-18,KOSDAQ,4,0.03508821129798889,미국 “러 파병 북한군 최전선 투입 사상자 발생” 첫 언급
2024-12-18,KOSDAQ,5,0.034933481365442276,"트럼프, 주일 대사에 최측근 글래스 지명"
2024-12-18,KOSPI,1,0.03568265959620476,"美 빅테크들, 트럼프에 취임 기부금 선물 행렬"
2024-12-18,KOSPI,2,0.03538771718740463,"정용진, 미국서 도널드 트럼프 당선인 장남 만났다"
2024-12-18,KOSPI,3,0.035240139812231064,"정용진, 트럼프 머무는 마러라고 방문...국내 기업인 중 첫 회동 가능성"
2024-12-18,KOSPI,4,0.03508821129798889,미국 “러 파병 북한군 최전선 투입 사상자 발생” 첫 언급
2024-12-18,KOSPI,5,0.034933481365442276,"트럼프, 주일 대사에 최측근 글래스 지명"
2024-12-19,KOSDAQ,1,0.03505370765924454,[취재수첩] 카드사를 대부업자로 전락시킨 수수료 정책
2024-12-19,KOSDAQ,2,0.03471977263689041,"[사설] ""북 중에 유화적, 미국엔 냉담"" 美 비판, 민주당은 뭐라고 할 건가"
2024-12-19,KOSDAQ,3,0.03468131646513939,"[사설] 美는 법인세 파격 인하, 韓은 세액공제 폐기 기업 어디로 가겠나"
2024-12-19,KOSDAQ,4,0.03454108536243439,폐기물사 코엔텍 코어엔텍 통매각...조단위 폐기물사 매물로
2024-12-19,KOSDAQ,5,0.03451559320092201,"새마을금고, 우선매수권 행사해 M캐피탈 인수한다"
2024-12-19,KOSPI,1,0.03505370765924454,[취재수첩] 카드사를 대부업자로 전락시킨 수수료 정책
2024-12-19,KOSPI,2,0.03471977263689041,"[사설] ""북 중에 유화적, 미국엔 냉담"" 美 비판, 민주당은 뭐라고 할 건가"
2024-12-19,KOSPI,3,0.03468131646513939,"[사설] 美는 법인세 파격 인하, 韓은 세액공제 폐기 기업 어디로 가겠나"
2024-12-19,KOSPI,4,0.03454108536243439,폐기물사 코엔텍 코어엔텍 통매각...조단위 폐기물사 매물로
2024-12-19,KOSPI,5,0.03451559320092201,"새마을금고, 우선매수권 행사해 M캐피탈 인수한다"
2024-12-20,KOSDAQ,1,0.03590591624379158,"중국계 남성, 美서 ‘비밀경찰서’ 운영 혐의 인정 中은 강력 부인"
2024-12-20,KOSDAQ,2,0.03582368791103363,푸틴 “트럼프 당선자와 언제든 만날 준비 돼 있어”
2024-12-20,KOSDAQ,3,0.03462067246437073,"李대표 주재 상법 개정 토론회서 쏟아진 호소, 野 외면 말아야 [사설]"
2024-12-20,KOSDAQ,4,0.03449508547782898,"고피자, 글로벌 매출 500억 돌파"
2024-12-20,KOSDAQ,5,0.034277938306331635,"""단돈 9000원에 이런 걸"" 다이소서 난리난 의외의 제품 [현장+]"
2024-12-20,KOSPI,1,0.03590591624379158,"중국계 남성, 美서 ‘비밀경찰서’ 운영 혐의 인정 中은 강력 부인"
2024-12-20,KOSPI,2,0.03582368791103363,푸틴 “트럼프 당선자와 언제든 만날 준비 돼 있어”
2024-12-20,KOSPI,3,0.03462067246437073,"李대표 주재 상법 개정 토론회서 쏟아진 호소, 野 외면 말아야 [사설]"
2024-12-20,KOSPI,4,0.03449508547782898,"고피자, 글로벌 매출 500억 돌파"
2024-12-20,KOSPI,5,0.034277938306331635,"""단돈 9000원에 이런 걸"" 다이소서 난리난 의외의 제품 [현장+]"
2024-12-23,KOSDAQ,1,0.035834524780511856,"트럼프 만나고 온 정용진 “트럼프 측근, 한국 상황에 관심 표해”"
2024-12-23,KOSDAQ,2,0.03562542051076889,"""전세사기 무서워"" 빌라 월세 비중 50% 넘었다"
2024-12-23,KOSDAQ,3,0.03529074788093567,"트럼프 취임 날 WHO 탈퇴? “인수팀, 취임식서 발표 추진”"
2024-12-23,KOSDAQ,4,0.034546028822660446,[임태형의 EU를 향한 시선] EU 새 집행부가 직면한 '과제'
2024-12-23,KOSDAQ,5,0.0344739593565464,탄핵정국에 '광화문 랜드마크'도 주인 못찾을 판
2024-12-23,KOSPI,1,0.035834524780511856,"트럼프 만나고 온 정용진 “트럼프 측근, 한국 상황에 관심 표해”"
2024-12-23,KOSPI,2,0.03562542051076889,"""전세사기 무서워"" 빌라 월세 비중 50% 넘었다"
2024-12-23,KOSPI,3,0.03529074788093567,"트럼프 취임 날 WHO 탈퇴? “인수팀, 취임식서 발표 추진”"
2024-12-23,KOSPI,4,0.034546028822660446,[임태형의 EU를 향한 시선] EU 새 집행부가 직면한 '과제'
2024-12-23,KOSPI,5,0.0344739593565464,탄핵정국에 '광화문 랜드마크'도 주인 못찾을 판
2024-12-24,KOSDAQ,1,0.03519529849290848,지하철서 잠든 여성에 불 붙이고 지켜본 男 뉴욕 '발칵'
2024-12-24,KOSDAQ,2,0.03498394787311554,내달 트럼프 대통령 취임식 류진 풍산그룹 회장 초청받아
2024-12-24,KOSDAQ,3,0.03496190905570984,"[사설] 민주당, 반도체 '주 52시간제 예외'가 그렇게 어렵나"
2024-12-24,KOSDAQ,4,0.0347893089056015,"美정부 ""중국산 반도체 추가 관세 부과 위한 조사 착수"""
2024-12-24,KOSDAQ,5,0.03457368537783623,"KT, 3조 부동산 유동화 속도 패키징 네트워크 ‘관건’"
2024-12-24,KOSPI,1,0.03519529849290848,지하철서 잠든 여성에 불 붙이고 지켜본 男 뉴욕 '발칵'
2024-12-24,KOSPI,2,0.03498394787311554,내달 트럼프 대통령 취임식 류진 풍산그룹 회장 초청받아
2024-12-24,KOSPI,3,0.03496190905570984,"[사설] 민주당, 반도체 '주 52시간제 예외'가 그렇게 어렵나"
2024-12-24,KOSPI,4,0.0347893089056015,"美정부 ""중국산 반도체 추가 관세 부과 위한 조사 착수"""
2024-12-24,KOSPI,5,0.03457368537783623,"KT, 3조 부동산 유동화 속도 패키징 네트워크 ‘관건’"
2024-12-26,KOSDAQ,1,0.034887850284576416,"CNBC ""내년 엔비디아 퀄컴 마이크론 상승 가능성 높아"""
2024-12-26,KOSDAQ,2,0.034683067351579666,네 번째 아내가 아들 전 여친 ‘240억 뇌물’ 중국은행 前회장의 막장
2024-12-26,KOSDAQ,3,0.03462977707386017,‘파나마 운하도 그린란드도 미국 땅’ 주장 트럼프의 계산된 도발
2024-12-26,KOSDAQ,4,0.03456467017531395,"박지원 ""거국내각 총리 제안받아 탁자 치고 나와버렸다"""
2024-12-26,KOSDAQ,5,0.03438474237918854,“우크라서 무기 소리 잦아들기를” 교황 성탄 메시지
2024-12-26,KOSPI,1,0.034887850284576416,"CNBC ""내년 엔비디아 퀄컴 마이크론 상승 가능성 높아"""
